Item Code,Item Name,Category,Quantity,Confidence,Similarity Score,Original Text
19502,SHER KALA CHANA FLOUR 10X4LB,Grain Market,4.0,low,0.524,of Sher atta (flour)
11152,NEPAL FOOD THAKALI MUSTANG DAL BLACK (LENTILS) 16X2LB,Branded,15.0,low,0.548,s of whole black lentils
19767,MOONG DAL 12X2LB,Organic,30.0,low,0.444,s of moong dal
15699,GM ALPHONSO MANGO PULP 6X850G,Branded,12.0,low,0.503,cases of mango pulp
20622,TURMERIC POWDER JAR 24X11OZ,Organic,30.0,medium,0.671,"s of turmeric powder (in a bag, not packets)"
23145,GM RED CHILLI POWDER EXTRA HOT RESHAMPATTI 10X800G,Grain Market,30.0,medium,0.560,"s of red spicy chili powder (in a bag, not packets)"
18509,SWEET BESAN LADDU TRADITIONAL 20X400G,Branded,100.0,low,0.479,"s of besan (please send regular or high-quality besan, not lower-quality)"
15928,GARAM MASALA POWDER PP,Mainpage,30.0,medium,0.621,s of garam masala
10106,CUMIN SEED 55LB,Bulk,30.0,medium,0.549,s of cumin seeds
20772,S.S DAL VATI 10/CS,Nonfood,30.0,low,0.447,s of masoor dal
23913,CLOVES 16X3.5OZ,Organic,5.0,medium,0.596,s of cloves
21952,PARLIAMENT BIRYANI RICE 20LB,Grain Market,5.0,medium,0.566,of long-grain biryani rice
21800,GM FENUGREEK LEAVES (KASOORI METHI) 6X1KG,Grain Market,1.0,low,0.549,box of 2 packets of kasoori methi
16758,S.S SABJI SPOON #3 24/CS,Nonfood,10.0,low,0.327,s of sooji
21706,SHAHI BIRYANI MASALA 10X50G,Branded,24.0,low,0.430,of biryani masala
10100,CORIANDER POWDER PP,Mainpage,30.0,medium,0.712,s of coriander powder
19783,CUMIN POWDER 16X7OZ,Organic,30.0,medium,0.668,s of cumin seed powder
24162,PACHRANGA SOYA CHAAP (FOR CURRY) 12X850G,Branded,1.0,low,0.433,case (12 cans) of pachranga achar
